sku_id,version,creation_date,start_date,end_date,display_name,description,sku_type,wholesale_price,list_price,sale_price,on_sale,tax_status,fulfiller,item_acl,nonreturnable,discountable,fractional_quantities_allowed,manuf_part_num,online_only
missing_product_sku,3,"2008-12-22 13:13:58",NULL,NULL,"Product Not Available",,0,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku10001,3,"2007-12-04 13:13:54",NULL,NULL,"Microfiber Contemporary Sofa Set",,0,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku10002,3,"2007-12-04 13:13:54",NULL,NULL,"Fabric Contemporary Sofa Set",,0,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30003,3,"2010-04-29 17:10:29",NULL,NULL,"Striped Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30005,3,"2010-04-29 17:10:55",NULL,NULL,"Striped Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30007,3,"2010-04-29 17:11:18",NULL,NULL,"Striped Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30009,3,"2010-04-29 17:11:39",NULL,NULL,"Striped Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30019,3,"2010-04-29 17:55:39",NULL,NULL,"Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30021,3,"2010-04-29 17:56:09",NULL,NULL,"Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30023,3,"2010-04-29 17:56:31",NULL,NULL,"Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30025,3,"2010-04-29 17:56:53",NULL,NULL,"Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30027,3,"2010-04-29 17:58:10",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30029,3,"2010-04-29 17:58:31",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30031,3,"2010-04-29 17:58:52",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30033,3,"2010-04-29 17:59:10",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30035,3,"2010-04-29 17:59:39",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30037,3,"2010-04-29 18:00:06",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30039,3,"2010-04-29 18:00:29",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30041,3,"2010-04-29 18:00:58",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30043,3,"2010-04-29 18:01:27",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30045,3,"2010-04-29 18:01:48",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30047,3,"2010-04-29 18:02:09",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30049,3,"2010-04-29 18:02:32",NULL,NULL,"Classic Rugby Shirt",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30051,3,"2010-04-29 18:03:52",NULL,NULL,"Short Sleeve Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30053,3,"2010-04-29 18:04:22",NULL,NULL,"Short Sleeve Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30055,3,"2010-04-29 18:05:06",NULL,NULL,"Short Sleeve Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30057,3,"2010-04-29 18:05:30",NULL,NULL,"Short Sleeve Plaid Button Down",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30059,3,"2010-04-29 18:06:43",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30061,3,"2010-04-29 18:07:04",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30063,3,"2010-04-29 18:07:23",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30065,3,"2010-04-29 18:07:44",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30067,3,"2010-04-29 18:08:19",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
sku30069,3,"2010-04-29 18:08:42",NULL,NULL,"Double Layer Polo",NULL,1,NULL,NULL,NULL,0,0,NULL,NULL,0,1,0,NULL,0
